nomelograd,logradouro,arvore,bancos,pontoonibu,pontotaxi,pontomotot,semaforo,trechos,faixapedes,comprimento,arvores_100m_median,bancos_100m_median,semaforos_100m_median,onibus_100m_median,arvores_100m_mean,bancos_100m_mean,semaforos_100m_mean,onibus_100m_mean
AVENIDA JORNALISTA ASSIS CHATEAUBRIAND,11592,136,2,35,0,2,9,83,7,13146,1.4285714285714286,0,0,0,2.255532265099588,0.028089174400446885,0.10757461029303464,0.6220113195368306
AVENIDA JOSÉ HAMILTON ALVES,13439,11,0,0,0,0,0,6,0,687,1.4219443323920935,0,0,0,2.060601184084849,0,0,0
AVENIDA JOSÉ MARTINS DE ANDRADE,16489,42,0,5,0,0,0,18,0,2125,2.0786092214663645,0,0,0,5.6072853927965225,0,0,0.18939479352990166
AVENIDA JUSCELINO KUBITSCHEK,16900,31,0,2,0,0,0,14,0,645,5.443349753694582,0,0,0,6.269139421715951,0,0,0.18232850070721357
AVENIDA JUVÊNCIO ARRUDA,21075,7,0,5,0,0,0,7,0,1546,0.6329113924050633,0,0,0.17889087656529518,1.6821241603771853,0,0,0.45467665963775916
AVENIDA LESTE PLÍNIO LEMOS,19585,63,0,2,0,0,0,43,0,2886,2,0,0,0,3.12107176214872,0,0,0.09123434704830054
AVENIDA MANOEL BARROS DE OLIVEIRA,9083,28,0,0,0,0,0,7,0,818,5.263157894736842,0,0,0,4.411701528318769,0,0,0
AVENIDA MANOEL TAVARES,3093,115,1,8,0,0,0,45,5,4947,2.877697841726619,0,0,0,3.238728939968363,0.0069881201956673664,0,0.1505680282268098
AVENIDA MARECHAL FLORIANO PEIXOTO,329,290,13,44,0,8,32,129,19,15659,2.4691358024691357,0,0,0,3.305618220244627,0.11084627363697132,0.33881795689191163,0.34585399569524616
AVENIDA MARECHAL FLORIANO PEIXOTO,728,7,0,0,0,0,0,5,0,336,4.166666666666666,0,0,0,3.8043593948805774,0,0,0
AVENIDA MARECHAL FLORIANO PEIXOTO,35998,17,0,0,0,0,0,9,0,767,2,0,0,0,2.6176636344981117,0,0,0
AVENIDA MINISTRO JOSÉ AMÉRICO DE ALMEIDA,17469,31,0,3,0,0,0,12,0,898,3.666666666666667,0,0,0,3.8522141134677,0,0,0.4456018518518518
AVENIDA NICARÁGUA,1724,2,0,0,0,0,0,1,0,86,2.3255813953488373,0,0,0,2.3255813953488373,0,0,0
AVENIDA OESTE PLÍNIO LEMOS,19569,48,0,8,0,0,0,31,1,2412,1.9230769230769231,0,0,0,3.585849245247303,0,0,0.27206037274198663
AVENIDA PEDRO BRASIL,24880,18,0,0,0,0,0,9,0,1032,1.8518518518518516,0,0,0,2.0105672446207126,0,0,0
AVENIDA PORTUGAL,23663,16,0,5,0,1,0,9,0,1448,1.0582010582010581,0,0,0.33112582781456956,1.4672466775203745,0,0,0.40030440418419505
AVENIDA PREFEITO SEVERINO CABRAL,5240,274,12,25,1,3,1,121,6,16688,2.380952380952381,0,0,0,3.187539307778301,0.19123547435767563,0.009391435011269723,0.24702043679905847
AVENIDA PRESIDENTE GETÚLIO VARGAS,337,26,0,3,0,0,3,13,1,1402,1.8518518518518516,0,0,0,4.991016780121171,0,0.13472516067222864,0.11810552142919782
AVENIDA PRINCIPADO DE MÔNACO,2011,1,0,0,0,0,0,1,0,213,0.4694835680751174,0,0,0,0.4694835680751174,0,0,0
AVENIDA PROFESSOR ALMEIDA BARRETO,10693,107,0,16,1,1,8,61,2,5013,2.479338842975207,0,0,0,3.4669532261479623,0,0.45114912377615835,0.45365873143381835
AVENIDA REINO UNIDO DA GRÃ BRETANHA,1929,10,0,0,0,0,0,5,0,765,1.1976047904191618,0,0,0,1.6036884543029348,0,0,0
AVENIDA REPÚBLICA ÁRABE DA SÍRIA,1970,2,0,0,0,0,0,1,0,132,1.5151515151515151,0,0,0,1.5151515151515151,0,0,0
AVENIDA REPÚBLICA DA GRÉCIA,1902,4,0,0,0,0,0,2,0,115,4.107142857142858,0,0,0,4.107142857142858,0,0,0
AVENIDA REPÚBLICA DO LÍBANO,1759,4,0,0,0,0,0,2,0,666,0.6006493506493507,0,0,0,0.6006493506493507,0,0,0
AVENIDA REPÚBLICA FEDERAL DA ALEMANHA,1945,9,0,0,0,1,0,4,0,1026,1.0416666666666667,0,0,0,1.3207630098452883,0,0,0
AVENIDA REPÚBLICA FRANCESA,1953,39,0,0,0,1,0,18,0,2452,2.321524422973698,0,0,0,3.1796216588547526,0,0,0
AVENIDA REPÚBLICA ISLÂMICA DA MAURITÂNIA,2046,5,0,0,0,1,0,2,0,238,2.1246246246246248,0,0,0,2.1246246246246248,0,0,0
AVENIDA REPÚBLICA ISLÂNDIA,2003,19,0,0,0,0,0,9,0,553,4.3478260869565215,0,0,0,3.9850579838797113,0,0,0
AVENIDA REPÚBLICA ORIENTAL DO URUGUAI,2038,29,0,0,0,0,0,13,0,1725,3.6363636363636362,0,0,0,3.6490805476464194,0,0,0
AVENIDA REPÚBLICA PORTUGUESA,1961,6,0,0,0,0,0,3,0,736,0.7462686567164178,0,0,0,1.2344759206620757,0,0,0
AVENIDA SAULO CORREIA MENEZES,15440,5,0,0,0,0,0,4,0,477,1.0446437370651425,0,0,0,2.1011352120517968,0,0,0
AVENIDA SENADOR ARGEMIRO DE FIGUEIRÊDO,12084,94,0,2,0,1,0,75,1,8242,1.9607843137254901,0,0,0,2.5788174404368656,0,0,0.07148407148407149
AVENIDA TABELIÃO ALCINDO LIMA,13536,8,0,0,0,0,0,5,0,759,1.1904761904761905,0,0,0,1.7101638733348652,0,0,0
AVENIDA TAVARES,4138,49,0,0,0,0,0,26,0,2296,2.5206087507926442,0,0,0,3.109047757016609,0,0,0
AVENIDA UBERABA,13684,6,0,0,0,0,0,3,0,351,3.4482758620689653,0,0,0,3.165249160765334,0,0,0
AVENIDA URUGUAI,1830,4,0,0,0,0,0,2,0,105,3.8181818181818183,0,0,0,3.8181818181818183,0,0,0
AVENIDA VEREADOR ANTÔNIO JOSÉ RODRIGUES,5355,10,0,1,0,0,0,4,0,894,1.0694835680751174,0,0,0,1.114008763666311,0,0,0.1
ESTRADA DA CHESF,700258,3,0,0,0,0,0,2,0,748,1.2064831395878228,0,0,0,1.2064831395878228,0,0,0
LARGO PREFEITO SEVERINO PROCÓPIO,11185,2,0,0,0,0,0,1,0,141,1.4184397163120568,0,0,0,1.4184397163120568,0,0,0
NÃO IDENTIFICADO 10677,10677,11,0,0,0,0,0,6,0,378,3.357380688124306,0,0,0,3.172673460866196,0,0,0
NÃO IDENTIFICADO 1236,1236,4,0,0,0,0,0,2,0,476,0.8548389993355243,0,0,0,0.8548389993355243,0,0,0
NÃO IDENTIFICADO 13347,13347,11,0,0,0,0,0,6,0,786,1.3107560756075607,0,0,0,1.8351207274067487,0,0,0
NÃO IDENTIFICADO 13382,13382,7,0,0,0,0,0,6,0,489,1.3793759512937593,0,0,0,1.5036729721430684,0,0,0
NÃO IDENTIFICADO 13579,13579,2,0,0,0,0,0,2,0,385,0.5196523053665911,0,0,0,0.5196523053665911,0,0,0
NÃO IDENTIFICADO 14117,14117,2,0,0,0,0,0,1,0,98,2.0408163265306123,0,0,0,2.0408163265306123,0,0,0
NÃO IDENTIFICADO 14150,14150,3,0,0,0,0,0,1,0,285,1.0526315789473684,0,0,0,1.0526315789473684,0,0,0
NÃO IDENTIFICADO 14206,14206,4,0,0,0,0,0,3,0,308,2.247191011235955,0,0,0,3.474978532249177,0,0,0
NÃO IDENTIFICADO 142571,142571,2,0,0,0,0,0,1,0,171,1.1695906432748537,0,0,0,1.1695906432748537,0,0,0
NÃO IDENTIFICADO 14265,14265,2,0,0,0,0,0,1,0,163,1.2269938650306749,0,0,0,1.2269938650306749,0,0,0
NÃO IDENTIFICADO 14664,14664,1,0,0,0,0,0,1,0,34,2.941176470588235,0,0,0,2.941176470588235,0,0,0
NÃO IDENTIFICADO 14745,14745,12,0,0,0,0,0,5,0,358,3.7383177570093453,0,0,0,3.4724190174548037,0,0,0
NÃO IDENTIFICADO 14915,14915,2,0,0,0,0,0,1,0,171,1.1695906432748537,0,0,0,1.1695906432748537,0,0,0
NÃO IDENTIFICADO 1503,1503,4,0,0,0,0,0,1,0,122,3.278688524590164,0,0,0,3.278688524590164,0,0,0
NÃO IDENTIFICADO 15377,15377,6,0,0,0,0,0,3,0,373,1.5151515151515151,0,0,0,1.8254537485306717,0,0,0
NÃO IDENTIFICADO 15940,15940,3,0,0,0,0,0,1,0,556,0.539568345323741,0,0,0,0.539568345323741,0,0,0
NÃO IDENTIFICADO 16189,16189,6,0,0,0,0,0,2,0,185,12.247474747474747,0,0,0,12.247474747474747,0,0,0
NÃO IDENTIFICADO 16577,16577,4,0,0,0,0,0,3,0,406,0.5780346820809248,0,0,0,2.032056465702277,0,0,0
NÃO IDENTIFICADO 16675,16675,4,0,0,0,0,0,1,0,177,2.2598870056497176,0,0,0,2.2598870056497176,0,0,0
NÃO IDENTIFICADO 16780,16780,10,0,0,0,0,0,7,0,367,2.631578947368421,0,0,0,5.838486351945626,0,0,0
