objectid,numero,ponteid,observacao,sequencial,compriment,nomeusual,distritoid,setorid,tipolograd,redeaguasp,tipopavime,estadocons,meiofio,separacaov,sentidovia,calcadaimp,calcadapar,sinalizaca,dispositiv,sinaliza_1,sinaliza_2,ponte,redeagua,redetelefo,redeesgoto,redeilumin,redeenergi,areasverde,arvore,lixeirapub,telefonepu,bancos,hidrantes,caixacorre,bancajorna,pontoonibu,pontotaxi,pontomotot,placapubli,placatrans,semaforo,faixapedes,poste,formulario,pesquisado,eglid,logradouro,coletalixo,trechoviai,trechovi_1,nomelograd
9310,0,0,,10744,0,,14,14,1,2,2,2,2,5,2,2,2,4,4,4,4,6,1,1,3,1,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,206857,2,12258,28894,,12258,12258,RUA FENELON ARAÚJO DE LUCENA
9311,0,0,,10747,0,,14,14,1,3,6,4,4,5,2,2,4,4,4,4,4,6,2,1,3,1,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,206860,2,12261,28886,,12261,12261,RUA PAULO LUIZ OLIVEIRA
9312,0,0,,10748,0,,14,14,1,2,2,2,2,5,2,2,2,4,4,4,4,6,1,1,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,206861,2,12262,28894,,12262,12262,RUA FENELON ARAÚJO DE LUCENA
9313,0,0,,10750,0,,14,14,1,2,2,2,2,5,2,3,2,4,4,4,4,6,3,1,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,206863,2,12264,28894,,12264,12264,RUA FENELON ARAÚJO DE LUCENA
9314,0,0,,10752,0,,14,14,1,2,2,2,2,5,2,2,1,4,4,4,4,6,3,1,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,206865,2,12266,28819,,12266,12266,RUA CRISTÓVÃO DE ALBUQUERQUE MONTENEGRO
9315,0,0,,10755,0,,14,14,1,3,6,4,4,5,2,4,3,4,4,4,4,6,3,1,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,206868,2,12269,28827,,12269,12269,RUA JOSÉ ALVES DO NASCIMENTO
9316,0,0,,10758,0,,14,14,1,2,2,2,2,5,2,2,1,4,4,4,4,6,1,1,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,206870,2,12272,28819,,12272,12272,RUA CRISTÓVÃO DE ALBUQUERQUE MONTENEGRO
9317,0,0,,10762,0,,14,14,1,2,2,2,2,5,2,2,2,4,4,4,4,6,1,1,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,206874,2,12280,28800,,12280,12280,RUA RAUL PEREIRA DOS SANTOS
9318,0,0,,10770,0,,14,14,1,3,5,3,4,5,2,4,4,4,4,4,4,6,3,1,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,206879,13,12292,700452,,12292,12292,"RUA PROJETADA 
 1
5"
9319,0,0,,10771,0,,14,14,1,3,5,3,4,5,2,4,2,4,4,4,4,6,3,1,3,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,206880,13,12293,700454,,12293,12293,"RUA PROJETADA 
 3
1"
9320,0,0,,10772,0,,14,14,7,3,6,4,4,5,2,4,4,4,4,4,4,6,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,206881,13,12294,700453,,12294,12294,"RUA PROJETADA 
 2
1"
9321,0,0,,10775,0,,14,14,1,3,2,1,2,5,2,1,3,4,4,4,4,6,3,1,3,1,1,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,2,207193,13,12297,33650,,12297,12297,RUA CARMELITA SILVA ARAÚJO
9322,0,0,,10777,0,,14,14,1,2,2,2,2,5,2,1,2,4,4,4,4,6,3,1,3,1,1,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,2,207195,13,12299,33391,,12299,12299,RUA GERALDA DE FÁTIMA PAIVA MAIA
